puuid,match_ids
NVNi020y0qc0LaxD-5TiJJ6IgjSjw5f64w3o-yJjH1CQYHh1XB_79v_vl7iuXAOLEZgLGRRADLfm1Q,"[""KR_7213778128"", ""KR_7213704787"", ""KR_7213643855""]"
9WaB3DJ-OPETflKez_IabmAq_oyIKNRsygzecEJhR0zBRNp-jLsDf5YNPuKcR1zuRS0o4Q7AO1Ke-Q,"[""KR_7214252054"", ""KR_7214193742"", ""KR_7213871378""]"
ZvTfThdBAMfKVa6XIAjEZOfb2Aakt_xMsZyHAePRS7XIHjQx1_HbTPA94Y4qt4aUZ1gJ32BscU4UAw,"[""KR_7213785346"", ""KR_7213724774"", ""KR_7213626981""]"
ZK9G1uaRM2gY_rgaL6jPppv4581cP0IOZl1cEwPWwonkAi8eqUwNCzv5vmWWxTalBxqXd2VCoFs4BQ,"[""KR_7214780518"", ""KR_7214595776"", ""KR_7214304322""]"
3sRfpRJ-7sBYbX5vhnzsBEBj2Fk-xg4k4qgEP6MnXJMyOmcEd3p_wp2YI6Qo5T43atnE4ZwlAYWloA,"[""KR_7209950297"", ""KR_7209840077"", ""KR_7209732385""]"
hQJQOmNL8lvLThGW0FXUyoCZYoK-OD2JmO1LyY6GJdtUgFChTK2jU45dJSiGLBwlcNxhkCt6b-fokQ,"[""KR_7211944072"", ""KR_7211888477"", ""KR_7211829520""]"
mhY2mvf_6BI2_h--iVRO_2RzqunbqdKvI11YCBy2y4i25-BgwcZq6rxD4Twy_wdrzvvJgrCIPGbFyQ,"[""KR_7212051298"", ""KR_7212027534"", ""KR_7210264651""]"
E9elmIEYOF3Tt45t5zePPQPtjZwrz1mvAbQFGD7KuLr8lBFfAOxHqFdmENCQJMpU64VnnXwa-DlU6g,"[""KR_7214324731"", ""KR_7213873949"", ""KR_7213840071""]"
OoXpmxr2HPRxyeT3neABlX88S-hCTU8szRitkIsI2AD1F0xDuKOsBJOkH2F5Feig0XJPdqLtz2Tz5A,"[""KR_7210206238"", ""KR_7208400211"", ""KR_7208369515""]"
gKxj91UaA9n6-9uWzmdMvCnODx14TCWL56Dv-8SYrU9g0MXEx_XEgxjCFhfzwchOFvjcgUyvaPaNWQ,"[""KR_7210066535"", ""KR_7209964453"", ""KR_7209896172""]"
qDtimCxEuBOrxikjaBfYiut_Q5dOpC1wqQJbCkH5PJoJLafKF0DIi6x7kMvU_sBusfFmXMcll6pOpQ,"[""KR_7214076795"", ""KR_7214049402"", ""KR_7214023477""]"
